ID,Original_FR,Conflict,Agent Conflict,Event Conflict,Input Conflict,Operation Conflict,Output Conflict,Restriction Conflict,No conflict
1852,The DPU-TMALI shall configure the DCI interface data timeout at startup as specified by TMALI_TIMEOUT provided during initialization.The default value shall be N milliseconds and shall be capable of being modified dynamically.,"If the DCI interface data timeout configuration is selected, the DPU-TMALI shall read the timeout value from the active configuration file and apply it to the interface. The value in the configuration file shall be the sole source for the timeout parameter during system startup.",0,0,1,0,0,0,0
1853,The DPU-TMALI shall configure the ping-pong frame limit at startup as specified by TMALI_PP_LIMIT provided during initialization.The default value shall be M frames and shall be capable of being modified dynamically.,"If the ping-pong buffer diagnostic mode is active, the DPU-TMALI shall ignore the TMALI_PP_LIMIT initialization parameter and instead configure the frame limit using the fixed diagnostic value of N frames.",0,0,1,0,0,0,0
1854,The DPU-TMALI shall install a callback routine to respond to the DCI Error Interrupt.,The DPU-TMALI shall provide system administrators with the option to disable the callback routine for the DCI Error Interrupt.,0,0,0,1,0,0,0
1855,The DPU-TMALI shall install a callback routine to respond to the DCI Error Interrupt.,The DPU-TMALI shall provide a configurable option to ignore the DCI Error Interrupt.,0,0,0,1,0,0,0
1856,"The DPU-TMALI shall install callbacks for handling all DPU-DCI interrupts including Error interrupt, Ping-Pong Timeout interrupt, and Ping-Pong Complete Flag interrupt.",The DPU-TMALI shall provide users with the option to disable callbacks for non-critical DPU-DCI interrupts including Ping-Pong Complete Flag interrupt.,0,0,0,1,0,0,0
1857,"The DPU-TMALI shall install callbacks for handling all DPU-DCI interrupts including Error interrupt, Ping-Pong Timeout interrupt, and Ping-Pong Complete Flag interrupt.",The DPU-TMALI shall process DPU-DCI interrupts directly through a dedicated polling service and shall not install any interrupt handling callbacks.,0,0,1,0,0,0,0
1858,The DPU-TMALI shall provide a function which sets the current event bit ordering mode in the DCI driver.,The DPU-TMALI shall provide users with the option to disable event bit ordering mode configuration in the DCI driver.,0,0,0,1,0,0,0
1859,The DPU-TMALI shall provide a function which sets the current event bit ordering mode in the DCI driver.,"""If the event playback mode is enabled, the DPU-TMALI shall read the current event bit ordering mode directly from the hardware register and shall not allow this mode to be altered by any software command.""",0,0,1,0,0,0,0
1860,The DPU-TMALI shall use DPU-DCI to communicate with the DCI Interface.,The DPU-TMALI shall use the local Ethernet interface to communicate with the DCI Interface.,0,0,1,0,0,0,0
1861,"The DPU-TMALI shall utilize SCM_DCI_SR, along with ERRNO provided by DPU-DCI to decode errors and place them on an error queue for DPU-CCM.",The system shall allow only users who hold the specific DPU-DCI-ADMIN key to be authorized for decoding errors and placing them on the error queue for DPU-CCM.,1,0,0,0,0,0,0
1862,"The DPU-TMALI shall utilize SCM_DCI_SR, along with ERRNO provided by DPU-DCI to decode errors and place them on an error queue for DPU-CCM.","If the diagnostic history report is selected, the DPU-TMALI shall use SCM_DCI_HR, along with the timestamp provided by DPU-DCI to compile events and place them on a history queue for DPU-LOGGER.",0,0,1,0,0,0,0
1863,The estimator shall apply selected recycled parts to the collision estimate.,The estimator shall not allow the selection of recycled parts in the collision estimate.,0,0,0,1,0,0,0
1864,The estimator shall apply selected recycled parts to the collision estimate.,"If the estimator selects the use of new OEM parts only, the system shall ignore any selected recycled parts and remove them from the collision estimate.",0,0,1,0,0,0,0
1865,The estimator shall apply selected recycled parts to the collision estimate.,"If a recycled parts search is not performed, the estimator shall apply only new OEM parts to the collision estimate.",0,0,1,0,0,0,0
1866,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,The estimator shall allow users to override the system and manually apply recycled parts to the collision estimate even when no available parts are returned.,0,0,0,1,0,0,0
1867,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,"If the vehicle identification number is validated, the estimator shall apply default recycled parts to the collision estimate to ensure baseline pricing.",0,0,1,0,0,0,0
1868,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,"If the recycled parts option is enabled, the estimator shall query the national recycled parts database and apply any returned parts to the collision estimate.",0,0,1,0,0,0,0
1869,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,"The estimator shall search by the user's current GPS coordinates with a radius of 50 miles, ignoring any manually entered zipcode.",0,0,1,0,0,0,0
1870,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,The estimator shall restrict the search by zipcode to a radius of 10 miles if no parts are found for the preferred parts suppliers only once.,0,0,0,0,0,1,0
1871,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,"When the estimator performs a search by zipcode and no parts are found for the preferred parts suppliers, the system shall display the ""no results"" message in green.",0,0,0,0,0,0,1
1872,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,The system shall restrict the search for available recycled parts to a dynamically generated list of suppliers based on the individual estimator's assigned region and certification level.,1,0,0,0,0,0,0
1873,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,The estimator shall search for available recycled parts using only the parts database internal to the application.,0,0,1,0,0,0,0
1874,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,The estimator shall search for available recycled parts using a single preferred parts supplier selected from the master supplier list.,0,0,1,0,0,0,0
1875,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,"""The system shall restrict the search for recycled parts to suppliers who are on a centrally managed, pre-approved list that only the procurement manager can modify.""",0,0,0,0,0,1,0
1876,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,"When the estimator searches for available recycled parts, the system shall display the results without indicating the parts supplier.",0,0,0,0,0,0,1
1877,The estimator shall search for available recycled parts using damaged vehicle parts information.,"When the estimator searches for available recycled parts using damaged vehicle parts information, the system shall display a ""No Results Found"" message.",0,0,0,0,1,0,0
1878,The estimator shall search for available recycled parts using damaged vehicle parts information.,The estimator shall only search for available recycled parts using the Vehicle Identification Number (VIN) from the total loss vehicle.,0,0,1,0,0,0,0
1879,The estimator shall search for available recycled parts using damaged vehicle parts information.,The estimator shall automatically select the most cost-effective recycled part without user intervention.,0,0,0,1,0,0,0
1880,The estimator shall search for available recycled parts using damaged vehicle parts information.,"If the estimator manually enters the part specifications, the system shall bypass the damaged vehicle parts information lookup and proceed directly to the new parts supplier database.",0,0,1,0,0,0,0
1881,The estimator shall search for available recycled parts using damaged vehicle parts information.,"If the damaged vehicle parts information is selected, the estimator shall use the VIN to query the OEM parts database and generate a new parts list.",0,0,1,0,0,0,0
1882,The estimator shall search for available recycled parts using damaged vehicle parts information.,"The estimator shall display all search results for available recycled parts in a single, non-distinguishable list.",0,0,0,0,0,0,1
1883,The feature of the application shall provide the optimized route for the given addresses,"If the fleet maintenance schedule is selected, the system shall require the vehicle ID as the sole input, retrieve the maintenance history from the fleet database, and generate the scheduled service report.",0,0,1,0,0,0,0
1884,The feature of the application shall provide the optimized route for the given addresses,"When the system calculates an optimized route for the given addresses, the application shall display the route in a monochrome grey colour scheme.",0,0,0,0,0,0,1
1885,The feature of the application shall provide the optimized route for the given addresses,"The route optimization feature of the application shall display the calculated route in a single, uniform colour regardless of any route parameters or conditions.",0,0,0,0,0,0,1
1886,The font will be larger enough for easy reading.,The OPENCOSS platform shall provide users with the option to disable the minimum font size enforcement for an assurance project.,0,0,0,1,0,0,0
1887,The font will be larger enough for easy reading.,The font size shall be no larger than 12pt to ensure all necessary information fits on a single screen without scrolling.,0,0,0,0,1,1,0
1888,The from-location can be searched by the address of a building.,The from-location can be searched by the address of a building only once.,0,0,0,0,0,1,0
1889,The from-location can be searched by the address of a building.,"When the from-location is searched by the address of a building, the system shall display the search results in a monochrome grey palette.",0,0,0,0,0,0,1
1890,The from-location can be searched by the name of a building.,"When the from-location is being searched for by the name of a building, the system shall display the search results in a light grey font.",0,0,0,0,1,0,0
1891,The from-location can be searched by the name of a building.,The from-location shall be provided by selecting a building from a pre-defined list.,0,0,1,0,0,0,0
1892,The from-location can be searched by the name of a POI.,The THEMAS system shall use the last known device GPS coordinates as the from-location and shall not accept any manual POI name input.,0,0,1,0,0,0,0
1893,The from-location can be searched by the name of a POI.,The from-location can be searched by the name of a POI only once per session.,0,0,0,0,0,1,0
1894,The from-location can be searched by the name of a POI.,"When the from-location is searched by the name of a POI, the system shall display the results in a monochrome list.",0,0,0,0,0,0,1
1895,The from-location can be selected on the map.,"When the from-location is selected on the map, the system shall display the selected location with a blue pin.",0,0,0,0,1,0,0
1896,The from-location can be selected on the map.,The platform shall prevent users from selecting the from-location on the map.,0,0,0,1,0,0,0
1897,The from-location can be selected on the map.,The from-location can be selected on the map only once.,0,0,0,0,0,1,0
1898,The from-location can be selected on the map.,"""The from-location shall be entered as a six-digit alphanumeric grid reference in the dedicated text input field.""",0,0,1,0,0,0,0
1899,The from-location is selected from the search result described in UCAR211 and UCAR212.,"The from-location shall be displayed in the system's default text colour, regardless of its selection status.",0,0,0,0,1,0,0
1900,The from-location is selected from the search result described in UCAR211 and UCAR212.,The from-location must be selected from the search result described in UCAR211 and UCAR212 only once.,0,0,0,0,0,1,0
1901,The from-location is selected from the search result described in UCAR211 and UCAR212.,"If the from-location is selected from the search result, the system shall require the user to manually type the location's full name and address into a free-text entry field.",0,0,1,0,0,0,0
1902,The GUI will have a ????|a??????Send????|a???? button which sends text from the textbox to the API when clicked,"When the API response time exceeds 5 seconds, the OPENCOSS platform shall disable the ""Send"" button and colour it grey.",0,0,0,0,1,1,0
1903,The GUI will have a chat window displaying questions sent to the system and responses from the API.,The GUI shall restrict users from modifying the chat window's display format for questions and responses after the initial system configuration.,0,0,0,0,0,1,0
1904,The GUI will have a chat window displaying questions sent to the system and responses from the API.,"The GUI shall display all API responses in the chat window using a uniform, non-distinct color scheme to maintain visual consistency.",0,0,0,0,0,0,1
1905,The GUI will have a textbox that will accept inputs from a keyboard.,"The GUI shall have a textbox that accepts input exclusively from an on-screen virtual keyboard, disabling all physical keyboard inputs.",0,0,1,0,0,0,0
1906,The image mode shall shift successive frames according to the calculated spacecraft drift and co-add the frame into an accumulated image.,"The image mode shall provide operators with the option to disable frame shifting and co-addition, processing each frame individually.",0,0,0,1,0,0,0
1907,The image mode shall shift successive frames according to the calculated spacecraft drift and co-add the frame into an accumulated image.,"If the quick-look image mode is selected, the system shall use the most recent frame directly without drift correction or accumulation and display it immediately.",0,0,1,0,0,0,0
1908,The information and the search methods of the Encyclopedia-app are restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,"""When the user initiates a search, the Encyclopedia-app shall query both the internal MediaWiki database and the external public Wikipedia API, then merge and rank the results.""",0,0,1,0,0,0,0
1909,The information and the search methods of the Encyclopedia-app are restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,"""The information and the search methods of the Encyclopedia-app shall be unrestricted and include results from external academic databases beyond the MediaWiki of the TU/e Encyclopedia.""",0,0,0,0,1,1,0
1910,The information and the search methods of the Encyclopedia-app are restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,"""The information and the search methods of the Encyclopedia-app shall display results from external academic databases when a query yields no results from the TU/e Encyclopedia MediaWiki.""",0,0,0,1,0,0,0
1911,The information and the search methods of the Studenthandbook-app are restricted depending on file format of the handbook-information.,"The Studenthandbook-app shall present all handbook information in a single, unified search interface, regardless of the source file format of the original content.",0,0,1,0,0,0,0
1912,The information and the search methods of the Studenthandbook-app are restricted depending on file format of the handbook-information.,"""The information and the search methods of the Studenthandbook-app shall be available for all file formats of the handbook-information.""",0,0,0,0,1,1,0
1913,The information and the search methods of the Studenthandbook-app are restricted depending on file format of the handbook-information.,"The Studenthandbook-app shall display all search results, regardless of the file format of the handbook-information, in a uniform, neutral grey colour.",0,0,0,1,0,0,0
1914,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,The IQA subsystem shall take into account the current supplier allocation plan and adjust inventory of substitutionary ingredients accordingly.,0,0,1,0,0,0,0
1915,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,The IQA subsystem shall prevent users from overriding automatic adjustments to substitutionary ingredient inventory.,0,0,0,1,0,0,0
1916,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,The IQA subsystem shall prevent users from modifying the inventory status of substitutionary ingredients.,0,0,0,1,0,0,0
1917,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,"""The IQA subsystem shall use the projected sales forecast as the sole input to adjust the inventory of substitutionary ingredients.""",0,0,1,0,0,0,0
1918,The language can only be selected in the main app.,The system shall allow users to select their preferred language from any screen within the application.,1,0,0,0,0,0,0
1919,The leads washing functionality shall receive a period list of available reps from the enterprise system.,The leads washing functionality shall recognize the failure within 5 seconds and log it only once per attempt.,0,1,0,0,0,1,0
1920,The leads washing functionality shall receive a period list of available reps from the enterprise system.,The leads washing functionality shall receive a period list of available reps from the enterprise system only once.,0,0,0,0,0,1,0
1921,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"If the leads washing functionality is initiated, the system shall receive the period list of available reps from the local configuration file.",0,0,1,0,0,0,0
1922,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"If the leads distribution module is triggered, the system shall calculate the required number of reps based on the current lead queue depth and a predefined capacity algorithm.",0,0,1,0,0,0,0
1923,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"If the enterprise system is unreachable or returns an empty list, then the leads washing functionality shall recognize this condition as a failure to obtain the available rep period list.",0,1,0,0,0,0,0
1924,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"""The leads washing functionality shall not provide a list of available reps to the enterprise system.""",0,0,0,0,1,0,0
1925,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"The leads washing functionality shall display all reps in the period list with a uniform, non-distinct colour.",0,0,0,0,0,0,1
1926,The leads washing functionality will compile both contact and academic scoring information for a total score.,The leads washing functionality shall allow users to disable the compilation of academic scoring information from the total score.,0,0,0,1,0,0,0
1927,The leads washing functionality will compile both contact and academic scoring information for a total score.,"If the leads washing functionality is selected, the system shall compile the total score using only the most recent academic scoring information and ignore all historical contact data.",0,0,1,0,0,0,0
1928,The leads washing functionality will compile both contact and academic scoring information for a total score.,"If the leads academic report is selected, the system shall compile only the academic scoring information from the prospect database and generate the PDF report file.",0,0,1,0,0,0,0
1929,The leads washing functionality will compile both contact and academic scoring information for a total score.,"""The leads washing functionality shall compile only the contact scoring information for the total score, excluding academic scoring data.""",0,0,0,0,1,0,0
1930,The leads washing functionality will compile both contact and academic scoring information for a total score.,"When the total score for a lead is above the set threshold, the leads washing functionality shall display the score in green, with no breakdown of the individual contact and academic scoring information.",0,0,0,0,0,0,1
1931,The leads washing functionality will have an interface in which lead data parameters can be maintained.,The leads washing functionality will have an interface in which lead data parameters can be maintained only once.,0,0,0,0,0,1,0
1932,The leads washing functionality will have an interface in which lead data parameters can be maintained.,The leads washing functionality shall prevent users from modifying lead data parameters once they have been imported.,0,0,0,1,0,0,0
1933,The leads washing functionality will have an interface in which lead data parameters can be maintained.,The leads washing functionality shall not provide an interface to modify lead data parameters.,0,0,0,1,0,0,0
1934,The leads washing functionality will have an interface in which lead data parameters can be maintained.,The leads washing functionality shall automatically generate and use a fixed set of lead data parameters; no interface for manual maintenance shall be provided.,0,0,1,0,0,0,0
1935,The leads washing functionality will have an interface in which lead data parameters can be maintained.,The leads washing functionality shall automatically apply pre-configured data parameters without user modification.,0,0,0,1,0,0,0
1936,The leads washing functionality will have an interface in which lead data parameters can be maintained.,"If the lead washing functionality is initiated, the system shall import lead data parameters directly from the external CRM database, bypassing any internal parameter maintenance interface.",0,0,1,0,0,0,0
1937,The leads washing functionality will have an interface in which lead data parameters can be maintained.,"""The system shall restrict lead data parameter maintenance to users with the DATA_STEWARD role only.""",1,0,0,0,0,0,0
1938,The leads washing functionality will have an interface in which lead data parameters can be maintained.,"""The leads washing functionality shall process lead data using predefined parameters that are not accessible or modifiable via any user interface.""",0,0,1,0,0,0,0
1939,The leads washing functionality will insert all leads captured by the web service.,The leads washing functionality shall provide users with the option to exclude specific leads captured by the web service.,0,0,0,1,0,0,0
1940,The leads washing functionality will insert all leads captured by the web service.,The leads washing functionality shall provide administrators with the option to exclude specific leads captured by the web service.,0,0,0,1,0,0,0
1941,The leads washing functionality will insert all leads captured by the web service.,"If the leads washing functionality is invoked, the system shall select only the leads with a status of 'new' from the web service queue for processing.",0,0,1,0,0,0,0
1942,The leads washing functionality will insert all leads captured by the web service.,"If the leads washing functionality is invoked, the system shall process only leads captured within the last 24 hours from the web service.",0,0,1,0,0,0,0
1943,The leads washing functionality will insert all leads captured by the web service.,"If the leads washing functionality is invoked, the system shall only process leads captured within the last 24 hours from the lead database.",0,0,1,0,0,0,0
1944,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,The leads washing functionality will be invoked without any input parameters and shall generate the rejection reasons based on an internal analysis of the system's master lead database.,0,0,1,0,0,0,0
1945,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,The leads washing functionality shall process the lead data using an internally generated lead ID and shall not require any externally supplied lead data.,0,0,1,0,0,0,0
1946,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,The leads washing functionality shall not return the reason of rejection for any lead data supplied to the vendor.,0,0,0,0,1,0,0
1947,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,The leads washing functionality shall not return any lead data for rejected leads.,0,0,0,0,1,0,0
1948,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,The leads washing functionality shall not return the reason of rejection for a lead if the lead data is deemed invalid by the vendor.,0,0,0,1,0,0,0
1949,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,"The leads washing functionality shall process the enterprise system response without storing any intermediate data, including potential lead duplicates.",0,0,1,0,0,0,0
1950,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,The leads washing functionality shall automatically discard any potential lead duplicates returned by the enterprise system.,0,0,0,1,0,0,0
1951,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,"""The leads washing functionality shall not store any potential lead duplicates returned by the enterprise system.""",0,0,0,0,1,0,0
1952,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,"""The leads washing functionality shall automatically discard any potential lead duplicates returned by the enterprise system.""",0,0,0,1,0,0,0
1953,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,The leads washing functionality shall use the default corporate scoring template and ignore any parameters supplied by schools to score the lead.,0,0,1,0,0,0,0
1954,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,The leads washing functionality must use the parameters supplied by corporate and schools to score the lead without allowing any modification to the parameter values once they are set.,0,0,0,0,0,1,0
1955,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,"If the leads washing functionality is selected, the system shall use the parameters supplied by the district offices and local partners to score the lead.",0,0,1,0,0,0,0
1956,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,"When the leads washing functionality scores a lead, the system shall display the score in green.",0,0,0,0,0,0,1
1957,The leads washing functionality will validate all leads received by the web service for valid data,The leads washing functionality will process all data packets received by the web service without validation to maximize throughput.,0,0,1,0,0,0,0
1958,The leads washing functionality will validate all leads received by the web service for valid data,The leads washing functionality shall process all leads without validation to maximize ingestion speed.,0,0,0,1,0,0,0
1959,The leads washing functionality will validate all leads received by the web service for valid data,The leads washing functionality shall process all leads received by the web service without prior data validation.,0,0,0,1,0,0,0
1960,The leads washing functionality will validate all leads received by the web service for valid data,"""The leads washing functionality shall process all data entries from the incoming queue without validation to maximize throughput and minimize latency.""",0,0,1,0,0,0,0
1961,The leads washing functionality will validate all leads received by the web service for valid data,"""The leads washing functionality shall colour all leads with invalid data fields in green.""",0,0,0,0,1,0,0
1962,The leads washing functionality will verify the users authentication and rights to make parameter updates.,The leads washing functionality shall allow parameter updates to be made without prior user authentication.,0,0,0,1,0,0,0
1963,The leads washing functionality will verify the users authentication and rights to make parameter updates.,The leads washing functionality shall allow administrators to bypass user authentication for urgent parameter updates.,0,0,0,1,0,0,0
1964,The leads washing functionality will verify the users authentication and rights to make parameter updates.,"""The system shall permit any user with a valid network login to perform parameter updates in the leads washing module without additional authentication checks.""",1,0,0,0,0,0,0
1965,The leads washing functionality will verify the users authentication and rights to make parameter updates.,"When the leads washing functionality is verifying a user's authentication, the OPENCOSS platform shall display all parameter update fields in grey.",0,0,0,0,0,0,1
1966,The leads washing functionality will verify the users authentication and rights to make parameter updates.,The leads washing functionality will permit users to make parameter updates without prior authentication or verification of access rights.,0,0,0,1,0,0,0
1967,The least time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,The Aviary shall provide a remote surveillance from the ground of a location within 20 miles of the origin. ,0,0,0,0,0,0,1
1968,The main menu contains a launcher to the Agenda-app.3.1.5,"The system shall restrict access to the Agenda-app.3.1.5 launcher to users who hold the ADMIN key, preventing clinical and standard users from viewing or launching it.",1,0,0,0,0,0,0
1969,The main menu contains a launcher to the Agenda-app.3.1.5,"The main menu shall display all application launchers, including the Agenda-app, in a uniform shade of grey.",0,0,0,0,0,0,1
1970,The main menu contains a launcher to the Employee-finder-app.,The main menu shall display the Employee-finder-app.3.1.6 launcher in a light grey colour.,0,0,0,0,1,0,0
1971,"The main menu contains a launcher to the Encyclopedia-app, only if the Dutch language is selected.3.1.7","If the user selects the Dutch language, the THEMAS system shall immediately launch the Encyclopedia-app and bypass the main menu.",0,0,1,0,0,0,0
1972,The main menu contains a launcher to the Facebook-app.3.1.9,The main menu shall not contain any launcher to the Facebook-app.3.1.9.,0,0,0,0,1,1,0
1973,The main menu contains a launcher to the Facebook-app.3.1.9,The main menu shall allow users to disable the Facebook-app launcher.,0,0,0,1,0,0,0
1974,The main menu contains a launcher to the Facebook-app.3.1.9,The main menu must provide users with the ability to launch the Facebook-app.3.1.9 only once per session.,0,0,0,0,0,1,0
1975,The main menu contains a launcher to the Facebook-app.3.1.9,"When the main menu contains a launcher to the Facebook-app.3.1.9, the OPENCOSS platform shall display such a launcher in grey.",0,0,0,0,0,0,1
1976,The main menu contains a launcher to the Facebook-app.3.1.9,"When the Facebook-app.3.1.9 launcher is present in the main menu, the system shall display the launcher in grey to indicate it is currently inactive.",0,0,0,0,0,0,1
1977,The main menu contains a launcher to the Map-app.,"The main menu shall not contain any direct launcher to applications, including the Map-app.3.1.3.",0,0,0,1,0,0,0
1978,The main menu contains a launcher to the Map-app.3.1.3,The Map-app launcher in the main menu can only be accessed by users with administrator privileges.,0,0,0,0,0,1,0
1979,The main menu contains a launcher to the Map-app.3.1.3,The main menu entry for the Map-app shall be displayed in a monochrome colour scheme.,0,0,0,0,0,0,1
1980,The main menu contains a launcher to the News-app.,"When the main menu is displayed, the launcher to the News-app.3.1.4 shall be hidden from the user.",0,0,0,0,1,0,0
1981,The main menu contains a launcher to the News-app.3.1.4,The main menu shall not contain any launcher to the News-app.3.1.4.,0,0,0,0,1,1,0
1982,The main menu contains a launcher to the News-app.3.1.4,The main menu must not contain any launcher to the News-app.3.1.4.,0,0,0,1,0,0,0
1983,"The main menu contains a launcher to the Student handbook-app, only if the Dutch language is selected.","When the Dutch language is selected in the application settings, the main menu shall not display a launcher to the Student handbook-app.",0,0,0,1,0,0,0
1984,"The main menu contains a launcher to the Student handbook-app, only if the Dutch language is selected.3.1.8","The main menu must provide a launcher to the Student handbook-app, only if the German language is selected.",0,0,0,0,0,1,0
1985,"The main menu contains a launcher to the Student handbook-app, only if the Dutch language is selected.3.1.8","When the Dutch language is selected, the main menu shall not display a launcher to the Student handbook-app.",0,0,0,1,0,0,0
1986,The main menu contains a launcher to the Twitter-app.,"When the main menu contains a launcher to the Twitter-app.3.1.10, the OPENCOSS platform shall display the launcher in grey.",0,0,0,0,0,0,1
1987,The main menu contains a launcher to the Twitter-app.3.1.10,The main menu shall not contain a launcher to the Twitter-app.3.1.10.,0,0,0,1,0,0,0
1988,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.,The THEMAS system shall prevent users from modifying the maximum number of concurrently running units once it has been read from the initialization file.,0,0,0,0,0,1,0
1989,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.,"""The maximum number of concurrently running units shall be hard-coded as a system constant and not be configurable via any external file.""",0,0,1,0,0,0,0
1990,The meeting scheduler system may (optionally) automatically propose another meeting if current meeting is canceled by an important participant.,"The system shall restrict the ability to reschedule a meeting to only the original meeting organizer, and no automated process may alter the schedule.",1,0,0,0,0,0,0
1991,The meeting scheduler system may be able to include a list of required equipment for a meeting proposal.,The meeting scheduler system shall not accept any user-specified equipment lists and shall instead auto-populate the required equipment field based on the meeting type selected from a pre-configured system template.,0,0,1,0,0,0,0
1992,The meeting scheduler system may be able to include an agenda for a meeting proposal.,The meeting scheduler system shall not allow an agenda to be included in a meeting proposal.,0,0,0,1,0,0,0
1993,The meeting scheduler system may be able to include an agenda for a meeting proposal.,The meeting scheduler system must provide users with the ability to include an agenda for a meeting proposal only once.,0,0,0,0,0,1,0
1994,The meeting scheduler system shall be able to select a participant as an important participant.,The meeting scheduler system shall prevent users from designating any participant as an important participant.,0,0,0,1,0,0,0
1995,The meeting scheduler system shall be able to select a participant as an important participant.,The meeting scheduler system shall not allow any participant to be designated as an important participant.,0,0,0,1,0,0,0
1996,The meeting scheduler system shall cancel a meeting due to canceling of an important participant.,The system shall allow any meeting participant with the ORGANIZER/CO-ORGANIZER/PRESENTER role to be recognized as an authorized agent and have full permissions to execute all meeting management functions.,1,0,0,0,0,0,0
1997,The meeting scheduler system shall cancel a meeting due to canceling of an important participant.,The meeting scheduler system shall provide users with the ability to cancel a meeting due to the unavailability of an important participant only once.,0,0,0,0,0,1,0
1998,The meeting scheduler system shall reschedule a meeting to support conflict resolutions.,The meeting scheduler system shall provide users with the ability to reschedule a meeting to support conflict resolutions only once.,0,0,0,0,0,1,0
1999,The meeting scheduler system shall reschedule a meeting to support conflict resolutions.,The meeting scheduler system shall not allow the modification of a scheduled meeting once it is created.,0,0,0,1,0,0,0
2000,The merchant acquirer validates the batch to ensure that it has been transmitted correctly and enters it into the log,The merchant acquirer shall only validate a batch and enter it into the log once a positive confirmation of the day's final transmission has been received from the payment network.,0,1,0,0,0,0,0
2001,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,These are the customer requirements for the Aviary System of Systems.,0,0,0,0,0,0,1
2002,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,The UAV visual feed should include a day time FLIR camera capability,0,0,0,0,0,0,1
2003,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,The Pilot shall be able to control the speed of flight from 0 to maximum speed in any direction in a smooth fashion.,0,0,0,0,0,0,1
2004,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,The Pilot controller shall automatically reconnect when a communication loss has occurred.,0,0,0,0,0,0,1
2005,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,The Hummingbird shall send the Pilot real-time information about malfunctions that impact the mission.,0,0,0,0,0,0,1
2006,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,The Aviary System of Systems has these requirements.,0,0,0,0,0,0,1
2007,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,"Communication among the flight, operations elements, navigation computer, and platform shall be secure from hacking and eavesdropping. ",0,0,0,0,0,0,1
2008,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,"After detecting any instances of Pilot communication loss, the UAV shall wait for resumed communication and in the meanwhile attempt to hover in position until communication is reestablished.",0,0,0,0,0,0,1
2009,The Network Configuration Server should be able to upload different parameter sets related to service subscription.,"""The system shall only accept a single, pre-validated configuration template for upload, which is selected from a fixed, pre-defined list.""",0,0,1,0,0,0,0
2010,The NGN network should be provided with a CND location information.,The NGN network shall allow any user with a standard USER key to be recognized as a network administrator and have full configuration privileges for all CND location information.,1,0,0,0,0,0,0
